,Bids,Asks,Est
0,147700,148900,148300.0
1,148700,148900,148800.0
2,148700,148800,148750.0
3,148700,149100,148900.0
4,148300,149100,148700.0
5,148200,149100,148650.0
6,148200,149100,148650.0
7,148200,149100,148650.0
8,148000,149100,148550.0
9,148000,149100,148550.0
10,148200,149100,148650.0
11,148200,149100,148650.0
12,148200,149100,148650.0
13,148200,149100,148650.0
14,148200,148500,148350.0
15,148200,148500,148350.0
16,148400,148500,148450.0
17,148600,149100,148850.0
18,148600,149100,148850.0
19,148400,149100,148750.0
20,148400,149100,148750.0
21,148300,149100,148700.0
22,148300,149100,148700.0
23,148400,149100,148750.0
24,148300,149100,148700.0
25,148300,149100,148700.0
26,148200,148300,148250.0
27,148200,148300,148250.0
28,148300,149100,148700.0
29,148400,149100,148750.0
30,148600,149100,148850.0
31,148800,149100,148950.0
32,149100,149200,149150.0
33,149100,149200,149150.0
34,148800,149200,149000.0
35,148800,149200,149000.0
36,149100,149200,149150.0
37,149200,150100,149650.0
38,149200,150100,149650.0
39,149300,150100,149700.0
40,149200,150100,149650.0
41,149200,149400,149300.0
42,149200,149400,149300.0
43,149200,149400,149300.0
44,149200,149400,149300.0
45,149600,150800,150200.0
46,149600,150800,150200.0
47,150000,150800,150400.0
48,150300,150800,150550.0
49,150400,150800,150600.0
50,150400,150800,150600.0
51,150400,150800,150600.0
52,150200,150800,150500.0
53,150400,150900,150650.0
54,150400,150900,150650.0
55,150400,150900,150650.0
56,150600,151400,151000.0
57,150600,151400,151000.0
58,150500,151700,151100.0
59,150200,151400,150800.0
60,150600,151800,151200.0
61,150600,150700,150650.0
62,150800,152000,151400.0
63,150900,152100,151500.0
64,150600,151800,151200.0
65,151000,152200,151600.0
66,151000,152200,151600.0
67,151000,152200,151600.0
68,151100,152300,151700.0
69,151600,152800,152200.0
70,151600,152800,152200.0
71,151400,152600,152000.0
72,151400,152600,152000.0
73,151600,152600,152100.0
74,151600,152600,152100.0
75,151600,152600,152100.0
76,151600,152500,152050.0
77,151600,152200,151900.0
78,151200,151900,151550.0
79,151200,151900,151550.0
80,151100,151900,151500.0
81,151300,151900,151600.0
82,151400,151900,151650.0
83,151400,151900,151650.0
84,151300,151900,151600.0
85,151200,151900,151550.0
86,151200,151900,151550.0
87,151100,151900,151500.0
88,151200,152400,151800.0
89,151400,152600,152000.0
90,151100,152000,151550.0
91,151200,152000,151600.0
92,151200,152000,151600.0
93,150800,152000,151400.0
94,150800,152000,151400.0
95,150900,152000,151450.0
96,150900,152000,151450.0
97,150900,152100,151500.0
98,150800,152000,151400.0
99,150700,151600,151150.0
100,150700,151600,151150.0
101,150700,151700,151200.0
102,150700,151600,151150.0
103,150700,151600,151150.0
104,150700,151500,151100.0
105,150700,151400,151050.0
106,150700,151700,151200.0
107,150700,151700,151200.0
108,150500,151700,151100.0
109,150900,152100,151500.0
110,150700,151900,151300.0
111,150700,151900,151300.0
112,150700,151900,151300.0
113,151100,151900,151500.0
114,151100,151900,151500.0
115,151100,151600,151350.0
116,151100,151600,151350.0
117,151100,151600,151350.0
118,151100,151200,151150.0
119,151100,151200,151150.0
120,151100,151200,151150.0
121,151100,151200,151150.0
122,151100,151200,151150.0
123,151100,151200,151150.0
124,151100,151200,151150.0
125,151100,151200,151150.0
126,151100,151200,151150.0
127,151100,151200,151150.0
128,151100,151200,151150.0
129,151100,151200,151150.0
130,151100,151200,151150.0
131,151100,151200,151150.0
132,151100,151200,151150.0
133,149900,150900,150400.0
134,149900,150900,150400.0
135,149900,150900,150400.0
136,149900,150800,150350.0
137,149900,150800,150350.0
138,149900,150800,150350.0
139,149900,150800,150350.0
140,149900,150800,150350.0
141,149900,150900,150400.0
142,149900,150900,150400.0
143,149900,150900,150400.0
144,149900,150900,150400.0
145,149900,150600,150250.0
146,149900,150600,150250.0
147,150000,150400,150200.0
148,149900,150400,150150.0
149,149900,150400,150150.0
150,149900,150400,150150.0
151,149900,150400,150150.0
152,149900,150400,150150.0
153,149900,150400,150150.0
154,149900,150400,150150.0
155,149900,150400,150150.0
156,149900,150600,150250.0
157,149800,150600,150200.0
158,150000,150600,150300.0
159,150200,150600,150400.0
160,150400,150600,150500.0
161,150200,151200,150700.0
162,150300,151200,150750.0
163,150400,151200,150800.0
164,150400,151200,150800.0
165,150800,151200,151000.0
166,150600,151200,150900.0
167,150700,151200,150950.0
168,150700,151200,150950.0
169,150700,151200,150950.0
170,150800,151200,151000.0
171,150800,151200,151000.0
172,151000,151200,151100.0
173,151000,151200,151100.0
174,151000,151200,151100.0
