,Bids,Asks,Est
0,148200,148400,148300.0
1,148100,148400,148250.0
2,148300,148500,148400.0
3,148300,148500,148400.0
4,148700,148900,148800.0
5,148600,148900,148750.0
6,148600,148800,148700.0
7,148500,148800,148650.0
8,148500,148700,148600.0
9,148500,148700,148600.0
10,148500,148800,148650.0
11,148600,148800,148700.0
12,148600,148800,148700.0
13,148600,148700,148650.0
14,148500,148700,148600.0
15,148900,149000,148950.0
16,148900,149100,149000.0
17,149000,149300,149150.0
18,149000,149200,149100.0
19,148800,149000,148900.0
20,148800,149000,148900.0
21,148800,149000,148900.0
22,148900,149100,149000.0
23,148800,149000,148900.0
24,148700,149000,148850.0
25,148700,149000,148850.0
26,148700,148900,148800.0
27,148700,148900,148800.0
28,148800,149000,148900.0
29,148900,149000,148950.0
30,149200,149300,149250.0
31,149100,149300,149200.0
32,149100,149300,149200.0
33,149100,149300,149200.0
34,149100,149400,149250.0
35,149100,149400,149250.0
36,149600,149800,149700.0
37,149700,150000,149850.0
38,149800,149900,149850.0
39,149800,150000,149900.0
40,149800,150000,149900.0
41,149800,149900,149850.0
42,149700,149900,149800.0
43,149800,149900,149850.0
44,149900,150000,149950.0
45,150000,150200,150100.0
46,150200,150400,150300.0
47,150800,151000,150900.0
48,150800,151000,150900.0
49,150900,151100,151000.0
50,150900,151100,151000.0
51,150900,151000,150950.0
52,150800,151000,150900.0
53,150900,151100,151000.0
54,150900,151100,151000.0
55,151100,151300,151200.0
56,151100,151200,151150.0
57,151000,151100,151050.0
58,151000,151200,151100.0
59,150800,150900,150850.0
60,151100,151400,151250.0
61,151400,151500,151450.0
62,151500,151600,151550.0
63,151500,151600,151550.0
64,151400,151500,151450.0
65,151600,151800,151700.0
66,151500,151600,151550.0
67,151600,151800,151700.0
68,152000,152200,152100.0
69,152100,152200,152150.0
70,152100,152200,152150.0
71,151800,152000,151900.0
72,151800,151900,151850.0
73,151900,152100,152000.0
74,151900,152000,151950.0
75,151800,152000,151900.0
76,151700,151800,151750.0
77,151400,151600,151500.0
78,151700,151900,151800.0
79,151600,151800,151700.0
80,151800,152000,151900.0
81,152000,152100,152050.0
82,152000,152100,152050.0
83,151900,152100,152000.0
84,151800,151900,151850.0
85,151600,151900,151750.0
86,151600,151800,151700.0
87,151700,151900,151800.0
88,151700,152000,151850.0
89,151800,152000,151900.0
90,151700,151900,151800.0
91,151700,151900,151800.0
92,151500,151700,151600.0
93,151400,151500,151450.0
94,151400,151600,151500.0
95,151400,151600,151500.0
96,151400,151600,151500.0
97,151300,151500,151400.0
98,151100,151300,151200.0
99,151000,151100,151050.0
100,151000,151100,151050.0
101,151000,151200,151100.0
102,150900,151100,151000.0
103,151000,151100,151050.0
104,150800,151000,150900.0
105,151000,151100,151050.0
106,151000,151200,151100.0
107,151100,151200,151150.0
108,151400,151600,151500.0
109,151200,151400,151300.0
110,151200,151400,151300.0
111,151200,151400,151300.0
112,151200,151400,151300.0
113,151200,151500,151350.0
114,151100,151300,151200.0
115,151200,151400,151300.0
116,151200,151400,151300.0
117,151200,151400,151300.0
118,151200,151400,151300.0
119,151000,151100,151050.0
120,151100,151300,151200.0
121,151100,151300,151200.0
122,150900,151000,150950.0
123,150800,151000,150900.0
