Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.282,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.5,TraderOne,Tick,0,0,0,0,148900,,0,0,0,OK
0.797,TraderOne,Tick,0,0,0,0,148700,,0,0,0,OK
1.016,TraderOne,Tick,0,0,0,0,148700,148400,0,0,0,OK
1.219,TraderOne,Tick,0,0,0,0,147900,148700,0,0,0,OK
1.532,TraderOne,Tick,0,0,0,0,147900,148800,0,0,0,OK
1.766,TraderOne,Tick,0,0,0,0,147900,148800,0,0,0,OK
2.0,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.266,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.454,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.719,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.969,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.282,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.547,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.766,TraderOne,Tick,0,0,0,0,149100,148800,0,0,0,OK
4.0,TraderOne,Tick,0,0,0,0,149100,149000,0,0,0,OK
4.297,TraderOne,Tick,10,0,10,-10,148500,148900,297,4703,2703,OK
4.469,TraderOne,Tick,14,0,14,-14,148500,148900,416,6584,3784,OK
4.719,TraderOne,Tick,14,0,14,-14,149100,148900,416,6584,9384,OK
5.016,TraderOne,Tick,14,0,14,-14,148500,149000,416,6584,3784,OK
5.297,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
5.469,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
5.797,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
6.016,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
6.282,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
6.454,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
6.766,TraderOne,Tick,14,0,14,-14,148400,148800,416,6584,3784,OK
